2018 - 2019  NFL Schedule,,,,,
,,,,,
WEEK 1:,,,,,
"Thursday, September 6, 2018", Atlanta Falcons , Philadelphia Eagles, Atlanta Falcons @  Philadelphia Eagles,8:20 PM,"Lincoln Financial Field, Philadelphia"
"Sunday, September 9, 2018", Buffalo Bills , Baltimore Ravens, Buffalo Bills @  Baltimore Ravens,1:00 PM,"M&T Bank Stadium, Baltimore"
, Cincinnati Bengals , Indianapolis Colts, Cincinnati Bengals @  Indianapolis Colts,1:00 PM,"Lucas Oil Stadium, Indianapolis"
, Houston Texans , New England Patriots, Houston Texans @  New England Patriots,1:00 PM,"Gillette Stadium, Foxboro"
, Jacksonville Jaguars , New York Giants, Jacksonville Jaguars @  New York Giants,1:00 PM,"MetLife Stadium, East Rutherford"
, Pittsburgh Steelers , Cleveland Browns, Pittsburgh Steelers @  Cleveland Browns,1:00 PM,"FirstEnergy Stadium, Cleveland"
, San Francisco 49ers , Minnesota Vikings, San Francisco 49ers @  Minnesota Vikings,1:00 PM,"U.S. Bank Stadium, Minneapolis"
, Tampa Bay Buccaneers , New Orleans Saints, Tampa Bay Buccaneers @  New Orleans Saints,1:00 PM,"Mercedes-Benz Superdome, New Orleans"
, Tennessee Titans , Miami Dolphins, Tennessee Titans @  Miami Dolphins,1:00 PM,"Hard Rock Stadium, Miami Gardens"
, Kansas City Chiefs , Los Angeles Chargers, Kansas City Chiefs @  Los Angeles Chargers,4:05 PM,"StubHub Center, Carson"
, Dallas Cowboys , Carolina Panthers, Dallas Cowboys @  Carolina Panthers,4:25 PM,"Bank of America Stadium, Charlotte"
, Seattle Seahawks , Denver Broncos, Seattle Seahawks @  Denver Broncos,4:25 PM,"Sports Authority Field at Mile High, Denver"
, Washington Redskins , Arizona Cardinals, Washington Redskins @  Arizona Cardinals,4:25 PM,"U of Phoenix Stadium, Glendale"
, Chicago Bears , Green Bay Packers, Chicago Bears @  Green Bay Packers,8:20 PM,"Lambeau Field, Green Bay"
"Monday, September 10, 2018", New York Jets , Detroit Lions, New York Jets @  Detroit Lions,7:10 PM,"Ford Field, Detroit"
, Los Angeles Rams , Oakland Raiders, Los Angeles Rams @  Oakland Raiders,10:20 PM,"Oakland Coliseum, Oakland"
,,,,,
WEEK 2:,,,,,
"Thursday, September 13, 2018", Baltimore Ravens , Cincinnati Bengals, Baltimore Ravens @  Cincinnati Bengals,8:20 PM,"Paul Brown Stadium, Cincinnati"
"Sunday, September 16, 2018", Carolina Panthers , Atlanta Falcons, Carolina Panthers @  Atlanta Falcons,1:00 PM,"Mercedes-Benz Stadium, Atlanta"
, Cleveland Browns , New Orleans Saints, Cleveland Browns @  New Orleans Saints,1:00 PM,"Mercedes-Benz Superdome, New Orleans"
, Houston Texans , Tennessee Titans, Houston Texans @  Tennessee Titans,1:00 PM,"Nissan Stadium, Nashville"
, Indianapolis Colts , Washington Redskins, Indianapolis Colts @  Washington Redskins,1:00 PM,"FedEx Field, Landover"
, Kansas City Chiefs , Pittsburgh Steelers, Kansas City Chiefs @  Pittsburgh Steelers,1:00 PM,"Heinz Field, Pittsburgh"
, Los Angeles Chargers , Buffalo Bills, Los Angeles Chargers @  Buffalo Bills,1:00 PM,"New Era Field, Buffalo"
, Miami Dolphins , New York Jets, Miami Dolphins @  New York Jets,1:00 PM,"MetLife Stadium, East Rutherford"
, Minnesota Vikings , Green Bay Packers, Minnesota Vikings @  Green Bay Packers,1:00 PM,"Lambeau Field, Green Bay"
, Philadelphia Eagles , Tampa Bay Buccaneers, Philadelphia Eagles @  Tampa Bay Buccaneers,1:00 PM,"Raymond James Stadium, Tampa"
